Private_Jobs_Search,Company_Name,Job_Type,Location,Vacancies,Minimum_Eligibility,Maximum_Eligibility,Salary
Account Executive,Salesforce,Full-time,Chandigarh,15 vacancies,Bachelor's Degree (B.A. or B.S.),MBA (Master of Business Administration)," 3,00,000 to  6,00,000 per year"
Business Analyst,McKinsey & Company,Full-time,Ludhiana,10 vacancies,Bachelor's Degree (B.A. or B.S.),MBA (Master of Business Administration) or Ph.D.," 4,00,000 to  8,00,000 per year"
Content Writer,HubSpot,Full-time,Amritsar,5 vacancies,Bachelor's Degree (B.A. or B.S.),Bachelor's Degree (B.A. or B.S.) or higher," 2,50,000 to  5,00,000 per year"
Data Scientist,Google,Full-time,Jalandhar,8 vacancies,"Bachelor's Degree (B.A. or B.S.) in Data Science, Computer Science, or related field","Ph.D. in Data Science, Computer Science"," 6,00,000 to  12,00,000 per year"
Digital Marketing Manager,Adobe,Full-time,Patiala,7 vacancies,Bachelor's Degree (B.A. or B.S.) in Marketing or a related field,MBA (Master of Business Administration) or Ph.D.," 4,00,000 to  10,00,000 per year"
Financial Analyst,J.P. Morgan,Full-time,Mohali (SAS Nagar),12 vacancies,"Bachelor's Degree (B.A. or B.S.) in Finance, Accounting, or a related field",MBA (Master of Business Administration) or CFA (Chartered Financial Analyst)," 4,00,000 to  8,00,000 per year"
Graphic Designer,Apple,Full-time,Bathinda,6 vacancies,- Bachelor's Degree (B.A. or B.S.) in Graphic Design or a related field,Bachelor's Degree (B.A. or B.S.) or higher," 3,00,000 to  6,00,000 per year"
Human Resources Specialist,IBM,Full-time,Hoshiarpur,8 vacancies,Bachelor's Degree (B.A. or B.S.) in Human Resources ,MBA (Master of Business Administration) or Ph.D.," 3,50,000 to  7,00,000 per year"
Inside Sales Representative,Oracle,Full-time,Pathankot,10 vacancies,High School Diploma or Bachelor's Degree (B.A. or B.S.),Bachelor's Degree (B.A. or B.S.) or higher," 2,50,000 to  5,00,000 per year"
IT Consultant,Accenture,Full-time,Moga,15 vacancies,Bachelor's Degree (B.A. or B.S.) in Information Technology ,MBA (Master of Business Administration) or Ph.D.," 5,00,000 to  12,00,000 per year"
Marketing Coordinator,Coca-Cola,Full-time,Sangrur,15 vacancies,Bachelor's Degree (B.A. or B.S.) in Marketing,Bachelor's Degree (B.A. or B.S.) or higher," 3,00,000 to  6,00,000 per year"
Product Manager,Amazon,Full-time,Kapurthala,10 vacancies,Bachelor's Degree (B.A. or B.S.) in Business,MBA (Master of Business Administration) or Ph.D.," 6,00,000 to  15,00,000 per year"
Project Coordinator,Microsoft,Full-time,Firozpur,5 vacancies,Bachelor's Degree (B.A. or B.S.),Bachelor's Degree (B.A. or B.S.) or higher," 3,00,000 to  6,00,000 per year"
Quality Assurance Tester,Facebook,Full-time,Gurdaspur,8 vacancies,Bachelor's Degree (B.A. or B.S.),Bachelor's Degree (B.A. or B.S.) or higher," 3,00,000 to  6,00,000 per year"
Sales Representative,IBM,Full-time,Fatehgarh Sahib,7 vacancies,High School Diploma or Bachelor's Degree (B.A. or B.S.) ,Bachelor's Degree (B.A. or B.S.) or higher," 3,00,000 to  6,00,000 per year"
Social Media Manager,Twitter,Full-time,Mansa,12 vacancies,"- Bachelor's Degree (B.A. or B.S.) in Marketing, Communications",Bachelor's Degree (B.A. or B.S.) or higher," 3,50,000 to  7,00,000 per year"
Software Engineer,Microsoft,Full-time,Ropar (Rupnagar),6 vacancies,Bachelor's Degree (B.A. or B.S.) in Computer Science,Ph.D. in Computer Science or related field," 4,00,000 to  10,00,000 per year"
Systems Administrator,Cisco Systems,Full-time,Nawanshahr (Shahid Bhagat Singh Nagar),8 vacancies,Bachelor's Degree (B.A. or B.S.) in Information Technology,Bachelor's Degree (B.A. or B.S.) or higher," 3,50,000 to  7,00,000 per year"
User Experience (UX) Designer,Airbnb,Full-time,Barnala,10 vacancies,Bachelor's Degree (B.A. or B.S.) in UX Design ,Ph.D. in UX Design," 3,50,000 to  7,00,000 per year"
Web Developer/software,Shopify,Full-time,Tarn Taran,15 vacancies,Bachelor's Degree (B.A. or B.S.) in Web Development ,Bachelor's Degree (B.A. or B.S.) or higher," 3,50,000 to  8,00,000 per year"
Brand Manager,Procter & Gamble,Full-time,Chandigarh,15 vacancies,Bachelor's Degree (B.A. or B.S.) in Marketing ,MBA (Master of Business Administration) or Ph.D.," 4,00,000 to  10,00,000 per year"
Customer Success Manager,Salesforce,Full-time,Ludhiana,10 vacancies,Bachelor's Degree (B.A. or B.S.) in Business ,MBA (Master of Business Administration) or Ph.D.," 4,00,000 to  8,00,000 per year"
Event Planner,Eventbrite,Full-time,Amritsar,5 vacancies,Bachelor's Degree (B.A. or B.S.) in Event Planning,Bachelor's Degree (B.A. or B.S.) or higher," 3,00,000 to  6,00,000 per year"
Financial Planner,Charles Schwab,Full-time,Jalandhar,8 vacancies,Bachelor's Degree (B.A. or B.S.) in Finance ,CFP (Certified Financial Planner) or Ph.D.," 4,00,000 to  10,00,000 per year"
Market Research Analyst,Nielsen,Full-time,Patiala,7 vacancies,Bachelor's Degree (B.A. or B.S.) in Market Research ,MBA (Master of Business Administration) or Ph.D.," 3,50,000 to  7,00,000 per year"
Public Relations Manager,Edelman,Full-time,Mohali (SAS Nagar),12 vacancies,Bachelor's Degree (B.A. or B.S.) in Public Relations,MBA (Master of Business Administration) or Ph.D.," 4,00,000 to  8,00,000 per year"
Supply Chain Manager,Walmart,Full-time,Bathinda,6 vacancies,Bachelor's Degree (B.A. or B.S.) in Supply Chain Management ,MBA (Master of Business Administration) or Ph.D.," 4,00,000 to  10,00,000 per year"
Business Development Manager,Uber,Full-time,Hoshiarpur,8 vacancies,Bachelor's Degree (B.A. or B.S.) in Business,MBA (Master of Business Administration) or Ph.D.," 4,00,000 to  12,00,000 per year"
Compliance Officer,Goldman Sachs,Full-time,Pathankot,10 vacancies,"Bachelor's Degree (B.A. or B.S.) in Business, Finance",MBA (Master of Business Administration) or Ph.D.," 4,00,000 to  8,00,000 per year"
HR Recruiter,LinkedIn,Full-time,Moga,15 vacancies,Bachelor's Degree (B.A. or B.S.) in Human Resources ,MBA (Master of Business Administration) or Ph.D.," 3,50,000 to  7,00,000 per year"
Investment Analyst,BlackRock,Full-time,Sangrur,15 vacancies,Bachelor's Degree (B.A. or B.S.) in Finance,CFA (Chartered Financial Analyst) or Ph.D," 4,00,000 to  10,00,000 per year"
Mobile App Developer,Apple,Full-time,Kapurthala,10 vacancies,Bachelor's Degree (B.A. or B.S.) in Computer Science,Ph.D. in Computer Science or related field," 4,00,000 to  10,00,000 per year"
Product Designer,IDEO,Full-time,Firozpur,5 vacancies,Bachelor's Degree (B.A. or B.S.) in Product Design ,Ph.D. in Product Design or related field," 4,00,000 to  8,00,000 per year"
SEO Specialist,Moz,Full-time,Gurdaspur,8 vacancies,Bachelor's Degree (B.A. or B.S.) in Marketing,Bachelor's Degree (B.A. or B.S.) or higher," 3,00,000 to  6,00,000 per year"
Software Quality Assurance Engineer,Atlassian,Full-time,Fatehgarh Sahib,7 vacancies,Bachelor's Degree (B.A. or B.S.) in Computer Science ,Ph.D. in Computer Science," 3,50,000 to  7,00,000 per year"
Technical Support Specialist,Dell Technologies,Full-time,Mansa,12 vacancies,Bachelor's Degree (B.A. or B.S.) in Information Technology ,Bachelor's Degree (B.A. or B.S.) or higher," 3,00,000 to  6,00,000 per year"
UI Designer (User Interface Designer),Adobe,Full-time,Ropar (Rupnagar),6 vacancies,Bachelor's Degree (B.A. or B.S.) in UI Design ,Ph.D. in UI Design," 3,50,000 to  7,00,000 per year"
Account Manager,Oracle,Full-time,Nawanshahr (Shahid Bhagat Singh Nagar),8 vacancies,Bachelor's Degree (B.A. or B.S.) in Business ,MBA (Master of Business Administration) or Ph.D.," 4,00,000 to  10,00,000 per year"
Customer Service Manager,American Express,Full-time,Barnala,10 vacancies,Bachelor's Degree (B.A. or B.S.) in Business ,MBA (Master of Business Administration) or Ph.D.," 4,00,000 to  8,00,000 per year"
Data Engineer,Netflix,Full-time,Tarn Taran,15 vacancies,Bachelor's Degree (B.A. or B.S.) in Data Engineering,Ph.D. in Data Engineering ," 4,00,000 to  10,00,000 per year"
E-commerce Manager,Shopify,Full-time,Moga,15 vacancies,Bachelor's Degree (B.A. or B.S.) in Marketing,MBA (Master of Business Administration) or Ph.D.," 4,00,000 to  12,00,000 per year"
Front-End Developer,Amazon,Full-time,Sangrur,10 vacancies,Bachelor's Degree (B.A. or B.S.) in Web Development,Bachelor's Degree (B.A. or B.S.) or higher," 3,50,000 to  8,00,000 per year"
HR Generalist,Deloitte,Full-time,Kapurthala,5 vacancies,Bachelor's Degree (B.A. or B.S.) in Human Resources ,MBA (Master of Business Administration) or Ph.D.," 3,50,000 to  7,00,000 per year"
Management Consultant,Bain & Company,Full-time,Firozpur,8 vacancies,Bachelor's Degree (B.A. or B.S.) in Busines,MBA (Master of Business Administration) or Ph.D.," 5,00,000 to  15,00,000 per year"
Operations Manager,General Electric (GE),Full-time,Gurdaspur,7 vacancies,Bachelor's Degree (B.A. or B.S.) in Business ,MBA (Master of Business Administration) or Ph.D.," 4,00,000 to  12,00,000 per year"
Project Manager,IBM,Full-time,Fatehgarh Sahib,12 vacancies,Bachelor's Degree (B.A. or B.S.) ,Ph.D. or higher," 5,00,000 to  15,00,000 per year"
Sales Manager,Salesforce,Full-time,Mansa,6 vacancies,Bachelor's Degree (B.A. or B.S.) in Business,MBA (Master of Business Administration) or Ph.D.," 4,00,000 to  12,00,000 per year"
Software Architect,Intel,Full-time,Ropar (Rupnagar),8 vacancies,Bachelor's Degree (B.A. or B.S.) in Computer Science,Ph.D. in Computer Science ," 6,00,000 to  15,00,000 per year"
Systems Analyst,SAP,Full-time,Nawanshahr (Shahid Bhagat Singh Nagar),10 vacancies,Bachelor's Degree (B.A. or B.S.) in Information Technology ,MBA (Master of Business Administration) or Ph.D.," 4,00,000 to  10,00,000 per year"
UX Researcher,Spotify,Full-time,Barnala,15 vacancies,Bachelor's Degree (B.A. or B.S.) in UX Research,Ph.D. in UX Research ," 4,00,000 to  10,00,000 per year"
