Non_Technical_Skill,Skill_Level,Online_Platform,Platform_Links,Online_Courses,Fee_Online_course,Course_Duration,Institutions/Organizations_Location
Communication,Advanced,Coursera,(www.coursera.org),"Business Communication"" by the University of Colorado Boulder"," 3,000 to  8,000 per month",4 to 8 weeks.,"Cityville Community College, Amritsar"
Teamwork,Advanced,edX,(www.edx.org),"Teamwork Skills: Communicating Effectively in Groups"" by the University of Washington"," 2,000 to  6,000 per month",4 to 6 weeks.,"Metro  Education, Barnala"
Problem-Solving,Advanced,LinkedIn Learning,(www.linkedin.com/learning),"""Leadership and Influence"" by Dorie Clark"," 1,500 to  4,000 per month",4 to 8 weeks.,"TechHelium, Fazilka"
Leadership,Advanced,Udemy,(www.udemy.com),"Critical Thinking and Problem Solving"" by Udemy Instructor Dr. Andrew Makar","  500 to  2,000 per month",4 to 6 weeks.,"Local Career Development Center, Jalandhar"
Adaptability:,Advanced,Skillshare,(www.skillshare.com),"""Adaptability: The Science of Success"" by Dr. Glenn Fox"," 1,000 to  2,000 per month.",4 to 6 weeks,"Language Plus Academy, Kapurthala"
Time Management,Advanced,LinkedIn Learning,(www.linkedin.com/learning),"""Time Management Fundamentals"" by Dave Crenshaw"," 1,500 to  4,000 per month ",1 to 4 weeks.,"ity Marketing Association, Ludhiana"
Emotional Intelligence,Advanced,Coursera,(www.coursera.org),"""Inspiring Leadership through Emotional Intelligence"" by Case Western Reserve University"," 3,000 to  8,000 per month",4 to 6 weeks,"Mindful Living Workshops, Mansa"
Critical Thinking,Advanced,edX,(www.edx.org),"""Critical Thinking & Problem Solving"" by Microsoft","  2,000 to  6,000 per month",4 to 6 weeks.,"Local Workforce Development Agency, Muktsar"
Conflict Resolution,Advanced,Coursera,(www.coursera.org),"""Interpersonal Conflict Resolution"" by the University of California, Irvine","  3,000 to  8,000 per month",4 to 8 weeks.,"Local Life Skills Foundation, Pathankot"
Networking,Advanced,Coursera,(www.coursera.org),"""Networking for Success"" by Dan Schawbel"," 1,500 to  4,000 per month",1 to 4 week,"City University, Patiala"
Public Speaking,Advanced,American Management Asscociation,(www.amanet.org),"""Problem Solving"" by AMS"," 1,500 to  3000 per month",1 to 5 week,"Language Plus Academy, Kapurthala"
Project Planning,Advanced,Skillshare,www.skillshare.com,"""Project planning' by Jocab ","  1,500 to    2000 per month",1 to 4week,"Language Plus Academy, Kapurthala"
Interpersonal Skills,Advanced,Pluralsight,www.pluralsight.com,"""Interpersonal Skills"" by Jason Olson","  500 to  2,000 per month",1 to 4 week,"TechHelium, Fazilka"
Customer Service,Advanced,Skillshare,www.skillshare.com,"""Customer service "" by Jack Daneils"," 1,000 to  2,000 per month.",4 to 6 weeks,"Mindful Living Workshops, Mansa"
Strategic Planning,Advanced,LinkedIn Learning,(www.linkedin.com/learning),"""Strategic Planning"" by Amar Malik"," 1,000 to  2,000 per month.",3 to 4 weeks,"Metro  Education, Barnala"
Analytical Skills,Advanced,Coursera,(www.coursera.org),"""Analytical Skills"" by Santhosh Narayan"," 1,000 to  2,000 per month.",3 to 4 weeks,"Metro  Education, Barnala"
Presentation Skills,Advanced,edX,(www.edx.org),"""Presentation skills"" by David"," 1,500 to  4,000 per month",4 to 5 weeks,"Local Workforce Development Agency, Muktsar"
Conflict Management,Advanced,Skillshare,www.skillshare.com,"""Conflict Management"" by DR.Jessica"," 1,000 to  2,000 per month.",2 to 3 weeks,"Local Career Development Center, Jalandhar"
Time Management,Advanced,Coursera,(www.coursera.org),"""Time Management Fundamentals"" by Dave Crenshaw"," 1,000 to  2,000 per month.",3 to 5 weeks,"ity Marketing Association, Ludhiana"
Decision Making,Advanced,Udemy,(www.udemy.com),"""Decision Making"" by Fransis Froud","  1,000 to  1,500 per month",2 to 4 weeks,"City University, Patiala"
Cultural Awareness,Advanced,Udemy,(www.udemy.com),"""Cultural Awareness"" by Mr.Robin Hood","  1,500 to    2000 per month",4 to 5 weeks,"Mindful Living Workshops, Mansa"
Organization,Advanced,edX,(www.edx.org),"""Organization"" by JD"," 1,500 to  4,000 per month",4 to 8 weeks.,Leaners Hub Rupnagar (Ropar)
